X1000010011.A01	beta
X1000010011.A02	alpha
X1000010011.A03	beta
X1000010011.A04	alpha
X1000010011.A05	delta
X1000010011.A06	delta
X1000010011.A07	alpha
X1000010011.A08	beta
X1000010011.A09	alpha
X1000010011.A10	beta
X1000010011.A11	alpha
X1000010011.A12	alpha
X1000010011.B01	alpha
X1000010011.B02	alpha
X1000010011.B03	alpha
X1000010011.B04	beta
X1000010011.B05	beta
X1000010011.B06	alpha
X1000010011.B07	alpha
X1000010011.B08	beta
X1000010011.B09	beta
X1000010011.B10	alpha
X1000010011.B12	beta
X1000010011.C01	alpha
X1000010011.C02	alpha
X1000010011.C04	beta
X1000010011.C06	alpha
X1000010011.C07	alpha
X1000010011.C09	beta
X1000010011.C12	alpha
X1000010011.D01	beta
X1000010011.D02	alpha
X1000010011.D03	alpha
X1000010011.D04	alpha
X1000010011.D05	beta
X1000010011.D06	alpha
X1000010011.D07	alpha
X1000010011.D08	alpha
X1000010011.D09	beta
X1000010011.D10	alpha
X1000010011.D11	alpha
X1000010011.D12	alpha
X1000010011.E01	alpha
X1000010011.E02	beta
X1000010011.E04	alpha
X1000010011.E05	alpha
X1000010011.E06	alpha
X1000010011.E08	beta
X1000010011.E10	alpha
X1000010011.E11	alpha
X1000010011.E12	alpha
X1000010011.F01	beta
X1000010011.F02	beta
X1000010011.F03	beta
X1000010011.F04	alpha
X1000010011.F05	alpha
X1000010011.F06	alpha
X1000010011.F07	alpha
X1000010011.F08	beta
X1000010011.F09	beta
X1000010011.F10	alpha
X1000010011.F11	beta
X1000010011.F12	alpha
X1000010012.A01	acinar
X1000010012.A02	acinar
X1000010012.A04	acinar
X1000010012.A05	acinar
X1000010012.A06	acinar
X1000010012.A07	acinar
X1000010012.B01	acinar
X1000010012.B02	acinar
X1000010012.B03	acinar
X1000010012.B04	acinar
X1000010012.B05	acinar
X1000010012.B06	acinar
X1000010012.B07	acinar
X1000010012.C01	acinar
X1000010012.C02	acinar
X1000010012.C03	acinar
X1000010012.C04	acinar
X1000010012.C06	acinar
X1000010012.C07	acinar
X1000010012.C09	acinar
X1000010012.C10	acinar
X1000010012.C11	acinar
X1000010012.C12	acinar
X1000010012.D01	acinar
X1000010012.D02	acinar
X1000010012.D03	acinar
X1000010012.D04	acinar
X1000010012.D05	acinar
X1000010012.D06	acinar
X1000010012.D08	acinar
X1000010012.D10	acinar
X1000010012.D11	acinar
X1000010012.D12	acinar
X1000010012.E02	acinar
X1000010012.E03	acinar
X1000010012.E04	acinar
X1000010012.E05	acinar
X1000010012.E07	acinar
X1000010012.E08	acinar
X1000010012.E09	acinar
X1000010012.E10	acinar
X1000010012.E11	acinar
X1000010012.E12	acinar
X1000010012.F04	acinar
X1000010012.F05	acinar
X1000010012.F06	acinar
X1000010012.F07	acinar
X1000010012.F09	acinar
X1000010012.F10	acinar
X1000010012.F11	acinar
X1000010012.F12	acinar
X1000010012.G01	acinar
X1000010012.G02	acinar
X1000010012.G03	acinar
X1000010012.G04	acinar
X1000010012.G05	acinar
X1000010012.G06	acinar
X1000010012.G07	acinar
X1000010012.G09	acinar
X1000010012.G10	acinar
X1000010012.G12	acinar
X1000010012.H01	acinar
X1000010012.H02	acinar
X1000010012.H03	acinar
X1000010012.H04	acinar
X1000010012.H05	acinar
X1000010012.H07	acinar
X1000010012.H09	acinar
X1000010012.H10	acinar
X1000010012.H11	acinar
X1000010013.A01	alpha
X1000010013.A02	alpha
X1000010013.A03	alpha
X1000010013.A04	beta
X1000010013.A05	alpha
X1000010013.A06	beta
X1000010013.A07	delta
X1000010013.A08	alpha
X1000010013.A09	beta
X1000010013.A10	beta
X1000010013.A11	beta
X1000010013.A12	alpha
X1000010013.B01	alpha
X1000010013.B02	alpha
X1000010013.B03	beta
X1000010013.B04	alpha
X1000010013.B05	beta
X1000010013.B06	alpha
X1000010013.B07	alpha
X1000010013.B08	beta
X1000010013.B09	beta
X1000010013.B11	beta
X1000010013.B12	beta
X1000010013.C01	alpha
X1000010013.C02	alpha
X1000010013.C03	alpha
X1000010013.C04	beta
X1000010013.C05	alpha
X1000010013.C06	alpha
X1000010013.C07	beta
X1000010013.C08	beta
X1000010013.C09	alpha
X1000010013.C10	alpha
X1000010013.C11	alpha
X1000010013.D01	alpha
X1000010013.D02	beta
X1000010013.D03	beta
X1000010013.D04	beta
X1000010013.D05	alpha
X1000010013.D06	alpha
X1000010013.D07	alpha
X1000010013.D08	beta
X1000010013.D09	beta
X1000010013.D10	beta
X1000010013.D11	beta
X1000010013.D12	alpha
X1000010013.E01	alpha
X1000010013.E02	alpha
X1000010013.E03	beta
X1000010013.E04	alpha
X1000010013.E05	alpha
X1000010013.E07	alpha
X1000010013.E08	alpha
X1000010013.E09	alpha
X1000010013.E10	alpha
X1000010013.E12	alpha
X1000010013.F02	beta
X1000010013.F03	beta
X1000010013.F04	alpha
X1000010013.F05	beta
X1000010013.F06	alpha
X1000010013.F07	alpha
X1000010013.F08	beta
X1000010013.F09	alpha
X1000010013.F10	beta
X1000010013.F11	alpha
X1000010013.F12	beta
X1000010013.G01	beta
X1000010013.G02	beta
X1000010013.G03	alpha
X1000010013.G04	beta
X1000010013.G05	beta
X1000010013.G06	alpha
X1000010013.G07	alpha
X1000010013.G08	alpha
X1000010013.G10	beta
X1000010013.G11	alpha
X1000010013.H01	alpha
X1000010013.H02	beta
X1000010013.H03	beta
X1000010013.H04	alpha
X1000010013.H05	beta
X1000010013.H06	beta
X1000010013.H07	beta
X1000010013.H08	alpha
X1000010013.H09	alpha
X1000010013.H10	alpha
X1000010013.H11	alpha
X1000010013.H12	beta
X1000010014.A01	beta
X1000010014.A02	delta
X1000010014.A03	alpha
X1000010014.A05	alpha
X1000010014.A06	beta
X1000010014.A07	beta
X1000010014.A08	delta
X1000010014.A09	beta
X1000010014.A10	alpha
X1000010014.A11	alpha
X1000010014.A12	alpha
X1000010014.B01	alpha
X1000010014.B02	beta
X1000010014.B03	alpha
X1000010014.B04	alpha
X1000010014.B05	delta
X1000010014.B06	alpha
X1000010014.B07	beta
X1000010014.B08	alpha
X1000010014.B09	alpha
X1000010014.B10	beta
X1000010014.B11	alpha
X1000010014.B12	beta
X1000010014.C02	beta
X1000010014.C03	alpha
X1000010014.C04	beta
X1000010014.C05	beta
X1000010014.C06	alpha
X1000010014.C07	alpha
X1000010014.C08	beta
X1000010014.C09	alpha
X1000010014.C10	alpha
X1000010014.C11	beta
X1000010014.C12	alpha
X1000010014.D01	alpha
X1000010014.D02	alpha
X1000010014.D03	beta
X1000010014.D04	beta
X1000010014.D05	beta
X1000010014.D06	beta
X1000010014.D07	alpha
X1000010014.D08	alpha
X1000010014.D09	beta
X1000010014.D10	beta
X1000010014.D11	beta
X1000010014.D12	alpha
X1000010014.E01	alpha
X1000010014.E03	alpha
X1000010014.E04	beta
X1000010014.E05	beta
X1000010014.E06	beta
X1000010014.E07	alpha
X1000010014.E08	beta
X1000010014.E09	alpha
X1000010014.E10	beta
X1000010014.E11	alpha
X1000010014.E12	beta
X1000010014.F01	alpha
X1000010014.F02	alpha
X1000010014.F03	beta
X1000010014.F04	beta
X1000010014.F05	alpha
X1000010014.F06	alpha
X1000010014.F07	beta
X1000010014.F08	alpha
X1000010014.F09	alpha
X1000010014.F10	alpha
X1000010014.F11	alpha
X1000010014.F12	alpha
X1000010014.G01	beta
X1000010014.G02	beta
X1000010014.G03	beta
X1000010014.G04	alpha
X1000010014.G05	delta
X1000010014.G06	delta
X1000010014.G07	beta
X1000010014.G08	alpha
X1000010014.G09	alpha
X1000010014.G10	beta
X1000010014.G11	beta
X1000010014.G12	alpha
X1000010014.H01	alpha
X1000010014.H02	beta
X1000010014.H04	alpha
X1000010014.H05	alpha
X1000010014.H06	beta
X1000010014.H07	alpha
X1000010014.H08	alpha
X1000010014.H09	beta
X1000010014.H10	beta
X1000010014.H11	beta
X1000010014.H12	beta
X1000010015.A01	delta
X1000010015.A02	beta
X1000010015.A03	beta
X1000010015.A04	alpha
X1000010015.A05	beta
X1000010015.A06	alpha
X1000010015.A07	alpha
X1000010015.A08	alpha
X1000010015.A09	alpha
X1000010015.A10	beta
X1000010015.A11	alpha
X1000010015.A12	alpha
X1000010015.B01	beta
X1000010015.B02	beta
X1000010015.B03	beta
X1000010015.B04	alpha
X1000010015.B05	beta
X1000010015.B06	beta
X1000010015.B07	delta
X1000010015.B08	beta
X1000010015.B09	alpha
X1000010015.B10	beta
X1000010015.B11	alpha
X1000010015.B12	beta
X1000010015.C01	beta
X1000010015.C02	alpha
X1000010015.C03	alpha
X1000010015.C04	alpha
X1000010015.C05	beta
X1000010015.C06	beta
X1000010015.C07	alpha
X1000010015.C08	alpha
X1000010015.C09	beta
X1000010015.C10	alpha
X1000010015.C11	delta
X1000010015.C12	beta
X1000010015.D01	alpha
X1000010015.D02	beta
X1000010015.D03	alpha
X1000010015.D04	alpha
X1000010015.D05	beta
X1000010015.D07	alpha
X1000010015.D08	beta
X1000010015.D10	beta
X1000010015.D11	alpha
X1000010015.D12	alpha
X1000010015.E01	beta
X1000010015.E02	beta
X1000010015.E03	delta
X1000010015.E04	beta
X1000010015.E05	beta
X1000010015.E06	alpha
X1000010015.E07	alpha
X1000010015.E08	beta
X1000010015.E09	beta
X1000010015.E10	beta
X1000010015.E11	beta
X1000010015.E12	beta
X1000010015.F01	beta
X1000010015.F02	alpha
X1000010015.F03	alpha
X1000010015.F04	alpha
X1000010015.F05	alpha
X1000010015.F06	alpha
X1000010015.F07	alpha
X1000010015.F08	beta
X1000010015.F09	alpha
X1000010015.F10	alpha
X1000010015.F11	beta
X1000010015.F12	beta
X1000010015.G01	beta
X1000010015.G02	delta
X1000010015.G03	delta
X1000010015.G04	beta
X1000010015.G05	beta
X1000010015.G06	beta
X1000010015.G07	alpha
X1000010015.G08	beta
X1000010015.G09	alpha
X1000010015.G10	delta
X1000010015.G11	beta
X1000010015.G12	alpha
X1000010015.H01	beta
X1000010015.H02	beta
X1000010015.H03	beta
X1000010015.H04	beta
X1000010015.H05	alpha
X1000010015.H06	alpha
X1000010015.H07	alpha
X1000010015.H08	alpha
X1000010015.H09	beta
X1000010015.H10	alpha
X1000010015.H11	alpha
X1000010015.H12	beta
X1000010016.A01	ductal/mesench
X1000010016.A02	ductal/mesench
X1000010016.A03	ductal/mesench
X1000010016.A04	ductal/mesench
X1000010016.A05	ductal/mesench
X1000010016.A06	ductal/mesench
X1000010016.A07	ductal/mesench
X1000010016.A08	ductal/mesench
X1000010016.A09	ductal/mesench
X1000010016.A10	ductal/mesench
X1000010016.A11	ductal/mesench
X1000010016.A12	ductal/mesench
X1000010016.B01	ductal/mesench
X1000010016.B02	ductal/mesench
X1000010016.B03	ductal/mesench
X1000010016.B04	beta
X1000010016.B05	ductal/mesench
X1000010016.B06	ductal/mesench
X1000010016.B07	ductal/mesench
X1000010016.B08	ductal/mesench
X1000010016.B09	ductal/mesench
X1000010016.B10	ductal/mesench
X1000010016.B11	ductal/mesench
X1000010016.B12	ductal/mesench
X1000010016.C01	ductal/mesench
X1000010016.C02	ductal/mesench
X1000010016.C03	ductal/mesench
X1000010016.C04	ductal/mesench
X1000010016.C05	ductal/mesench
X1000010016.C06	ductal/mesench
X1000010016.C07	ductal/mesench
X1000010016.C08	ductal/mesench
X1000010016.C09	ductal/mesench
X1000010016.C10	ductal/mesench
X1000010016.C11	ductal/mesench
X1000010016.C12	ductal/mesench
X1000010016.D01	ductal/mesench
X1000010016.D02	ductal/mesench
X1000010016.D03	ductal/mesench
X1000010016.D04	ductal/mesench
X1000010016.D05	ductal/mesench
X1000010016.D06	ductal/mesench
X1000010016.D07	ductal/mesench
X1000010016.D08	ductal/mesench
X1000010016.D09	ductal/mesench
X1000010016.D10	ductal/mesench
X1000010016.D11	ductal/mesench
X1000010016.D12	ductal/mesench
X1000010016.E01	ductal/mesench
X1000010016.E02	ductal/mesench
X1000010016.E03	ductal/mesench
X1000010016.E04	ductal/mesench
X1000010016.E05	ductal/mesench
X1000010016.E06	ductal/mesench
X1000010016.E07	ductal/mesench
X1000010016.E08	ductal/mesench
X1000010016.E09	ductal/mesench
X1000010016.E10	ductal/mesench
X1000010016.E11	ductal/mesench
X1000010016.E12	ductal/mesench
X1000010016.F01	ductal/mesench
X1000010016.F02	ductal/mesench
X1000010016.F04	ductal/mesench
X1000010016.F05	ductal/mesench
X1000010016.F06	ductal/mesench
X1000010016.F07	ductal/mesench
X1000010016.F08	ductal/mesench
X1000010016.F09	ductal/mesench
X1000010016.F10	ductal/mesench
X1000010016.F12	ductal/mesench
X1000010016.G01	ductal/mesench
X1000010016.G02	ductal/mesench
X1000010016.G03	ductal/mesench
X1000010016.G04	ductal/mesench
X1000010016.G05	ductal/mesench
X1000010016.G06	ductal/mesench
X1000010016.G07	ductal/mesench
X1000010016.G08	ductal/mesench
X1000010016.G09	ductal/mesench
X1000010016.G10	ductal/mesench
X1000010016.G12	ductal/mesench
X1000010016.H01	ductal/mesench
X1000010016.H02	ductal/mesench
X1000010016.H03	ductal/mesench
X1000010016.H04	ductal/mesench
X1000010016.H05	ductal/mesench
X1000010016.H06	ductal/mesench
X1000010016.H07	ductal/mesench
X1000010016.H08	ductal/mesench
X1000010016.H09	ductal/mesench
X1000010016.H10	ductal/mesench
X1000010016.H11	ductal/mesench
X1000010016.H12	ductal/mesench
X1000101201.A1	ductal/mesench
X1000101201.A10	ductal/mesench
X1000101201.A11	ductal/mesench
X1000101201.A12	ductal/mesench
X1000101201.A2	ductal/mesench
X1000101201.A3	ductal/mesench
X1000101201.A4	ductal/mesench
X1000101201.A5	ductal/mesench
X1000101201.A6	ductal/mesench
X1000101201.A7	ductal/mesench
X1000101201.A8	ductal/mesench
X1000101201.A9	ductal/mesench
X1000101201.B11	ductal/mesench
X1000101201.B3	ductal/mesench
X1000101201.B5	ductal/mesench
X1000101201.B7	ductal/mesench
X1000101201.B8	ductal/mesench
X1000101201.C1	ductal/mesench
X1000101201.C10	ductal/mesench
X1000101201.C11	ductal/mesench
X1000101201.C12	ductal/mesench
X1000101201.C2	ductal/mesench
X1000101201.C3	ductal/mesench
X1000101201.C4	ductal/mesench
X1000101201.C5	ductal/mesench
X1000101201.C6	ductal/mesench
X1000101201.C7	ductal/mesench
X1000101201.C8	ductal/mesench
X1000101201.C9	ductal/mesench
X1000101201.D1	ductal/mesench
X1000101201.D10	ductal/mesench
X1000101201.D11	ductal/mesench
X1000101201.D12	ductal/mesench
X1000101201.D2	ductal/mesench
X1000101201.D3	ductal/mesench
X1000101201.D5	ductal/mesench
X1000101201.D6	ductal/mesench
X1000101201.D9	ductal/mesench
X1000101201.E1	ductal/mesench
X1000101201.E10	ductal/mesench
X1000101201.E11	ductal/mesench
X1000101201.E12	ductal/mesench
X1000101201.E2	ductal/mesench
X1000101201.E3	ductal/mesench
X1000101201.E4	ductal/mesench
X1000101201.E5	ductal/mesench
X1000101201.E6	ductal/mesench
X1000101201.E8	ductal/mesench
X1000101201.F10	ductal/mesench
X1000101201.F11	ductal/mesench
X1000101201.F3	ductal/mesench
X1000101201.F4	ductal/mesench
X1000101201.F6	ductal/mesench
X1000101201.F8	ductal/mesench
X1000101201.F9	ductal/mesench
X1000101201.G1	ductal/mesench
X1000101201.G10	ductal/mesench
X1000101201.G11	ductal/mesench
X1000101201.G12	ductal/mesench
X1000101201.G2	ductal/mesench
X1000101201.G7	ductal/mesench
X1000101201.G8	ductal/mesench
X1000101201.G9	ductal/mesench
X1000101201.H1	ductal/mesench
X1000101201.H10	ductal/mesench
X1000101201.H11	ductal/mesench
X1000101201.H2	ductal/mesench
X1000101201.H3	ductal/mesench
X1000101201.H5	ductal/mesench
X1000101201.H6	ductal/mesench
X1000101201.H7	ductal/mesench
X1000101201.H9	ductal/mesench
X1000101202.A10	ductal/mesench
X1000101202.A11	acinar
X1000101202.A12	acinar
X1000101202.A2	acinar
X1000101202.A3	acinar
X1000101202.A5	alpha
X1000101202.A6	acinar
X1000101202.B10	alpha
X1000101202.B12	acinar
X1000101202.B3	acinar
X1000101202.B4	acinar
X1000101202.B5	alpha
X1000101202.B6	acinar
X1000101202.B7	acinar
X1000101202.B9	acinar
X1000101202.C1	acinar
X1000101202.C10	alpha
X1000101202.C12	acinar
X1000101202.C3	alpha
X1000101202.C5	ductal/mesench
X1000101202.C6	acinar
X1000101202.C7	acinar
X1000101202.C8	ductal/mesench
X1000101202.C9	ductal/mesench
X1000101202.D1	alpha
X1000101202.D11	acinar
X1000101202.D12	acinar
X1000101202.D4	alpha
X1000101202.D5	alpha
X1000101202.D6	acinar
X1000101202.D7	alpha
X1000101202.D9	acinar
X1000101202.E10	alpha
X1000101202.E12	acinar
X1000101202.E2	ductal/mesench
X1000101202.E4	beta
X1000101202.E5	acinar
X1000101202.E6	acinar
X1000101202.E7	acinar
X1000101202.E8	ductal/mesench
X1000101202.F1	acinar
X1000101202.F10	acinar
X1000101202.F5	acinar
X1000101202.F6	ductal/mesench
X1000101202.F8	alpha
X1000101202.F9	beta
X1000101202.G10	ductal/mesench
X1000101202.G11	alpha
X1000101202.G2	beta
X1000101202.G4	alpha
X1000101202.H10	alpha
X1000101202.H11	acinar
X1000101202.H3	ductal/mesench
X1000101202.H4	ductal/mesench
X1000101202.H6	alpha
X1000101202.H7	ductal/mesench
X1000101202.H8	acinar
X1000101202.H9	beta
X1000101203.A1	ductal/mesench
X1000101203.A11	acinar
X1000101203.A12	acinar
X1000101203.A6	acinar
X1000101203.A8	alpha
X1000101203.B10	beta
X1000101203.B11	ductal/mesench
X1000101203.B4	acinar
X1000101203.C12	ductal/mesench
X1000101203.D1	acinar
X1000101203.D11	acinar
X1000101203.D6	acinar
X1000101203.E1	ductal/mesench
X1000101203.E11	ductal/mesench
X1000101203.E6	alpha
X1000101203.E7	acinar
X1000101203.F12	ductal/mesench
X1000101203.F3	ductal/mesench
X1000101203.F4	acinar
X1000101203.F7	alpha
X1000101203.G10	acinar
X1000101203.G11	ductal/mesench
X1000101203.G12	acinar
X1000101203.G3	beta
X1000101203.G6	alpha
X1000101203.H1	acinar
X1000101203.H2	ductal/mesench
X1000101203.H4	acinar
X1000101203.H6	alpha
X1000101203.H7	acinar
X1000101204.A1	beta
X1000101204.A10	alpha
X1000101204.A11	beta
X1000101204.A12	alpha
X1000101204.A3	alpha
X1000101204.A4	alpha
X1000101204.A5	alpha
X1000101204.A6	alpha
X1000101204.A7	alpha
X1000101204.A9	alpha
X1000101204.B1	alpha
X1000101204.B11	alpha
X1000101204.B12	alpha
X1000101204.B3	beta
X1000101204.B5	beta
X1000101204.B6	alpha
X1000101204.B7	alpha
X1000101204.B9	alpha
X1000101204.C10	alpha
X1000101204.C11	alpha
X1000101204.C12	alpha
X1000101204.C3	alpha
X1000101204.C6	alpha
X1000101204.C7	alpha
X1000101204.D1	alpha
X1000101204.D11	alpha
X1000101204.D2	beta
X1000101204.D3	alpha
X1000101204.D8	alpha
X1000101204.D9	alpha
X1000101204.E1	alpha
X1000101204.E11	alpha
X1000101204.E12	alpha
X1000101204.E3	alpha
X1000101204.E4	alpha
X1000101204.E7	alpha
X1000101204.F1	alpha
X1000101204.F10	alpha
X1000101204.F11	alpha
X1000101204.F12	alpha
X1000101204.F2	alpha
X1000101204.F3	alpha
X1000101204.F6	beta
X1000101204.F7	alpha
X1000101204.F9	alpha
X1000101204.G1	alpha
X1000101204.G10	beta
X1000101204.G3	beta
X1000101204.G4	alpha
X1000101204.G5	alpha
X1000101204.G6	beta
X1000101204.G7	beta
X1000101204.G9	alpha
X1000101204.H11	alpha
X1000101204.H2	alpha
X1000101204.H3	beta
X1000101204.H6	alpha
X1000101204.H7	alpha
X1000101205.A10	alpha
X1000101205.A11	beta
X1000101205.A12	beta
X1000101205.A2	alpha
X1000101205.A3	beta
X1000101205.A4	alpha
X1000101205.A5	alpha
X1000101205.A6	alpha
X1000101205.A7	beta
X1000101205.A8	alpha
X1000101205.A9	alpha
X1000101205.B1	beta
X1000101205.B10	alpha
X1000101205.B11	alpha
X1000101205.B12	alpha
X1000101205.B3	alpha
X1000101205.B4	alpha
X1000101205.B5	alpha
X1000101205.B6	alpha
X1000101205.B7	alpha
X1000101205.B8	alpha
X1000101205.B9	alpha
X1000101205.C1	alpha
X1000101205.C10	alpha
X1000101205.C11	alpha
X1000101205.C12	alpha
X1000101205.C5	alpha
X1000101205.C7	alpha
X1000101205.C8	alpha
X1000101205.C9	alpha
X1000101205.D1	alpha
X1000101205.D10	alpha
X1000101205.D11	beta
X1000101205.D12	alpha
X1000101205.D2	alpha
X1000101205.D5	alpha
X1000101205.D7	alpha
X1000101205.D9	alpha
X1000101205.E1	beta
X1000101205.E10	beta
X1000101205.E12	alpha
X1000101205.E2	alpha
X1000101205.E3	alpha
X1000101205.E4	alpha
X1000101205.E5	alpha
X1000101205.E6	alpha
X1000101205.E7	alpha
X1000101205.E8	beta
X1000101205.E9	alpha
X1000101205.F10	delta
X1000101205.F12	beta
X1000101205.F4	alpha
X1000101205.F6	beta
X1000101205.F7	alpha
X1000101205.F8	alpha
X1000101205.F9	beta
X1000101205.G1	alpha
X1000101205.G11	alpha
X1000101205.G12	delta
X1000101205.G4	beta
X1000101205.G6	beta
X1000101205.G7	alpha
X1000101205.G8	alpha
X1000101205.G9	alpha
X1000101205.H1	alpha
X1000101205.H10	alpha
X1000101205.H11	alpha
X1000101205.H4	alpha
X1000101205.H5	alpha
X1000101205.H6	alpha
X1000101205.H7	alpha
X1000101206.A10	alpha
X1000101206.A11	alpha
X1000101206.A12	beta
X1000101206.A2	alpha
X1000101206.A3	alpha
X1000101206.A4	beta
X1000101206.A5	beta
X1000101206.A6	alpha
X1000101206.A7	alpha
X1000101206.A9	alpha
X1000101206.B1	alpha
X1000101206.B10	alpha
X1000101206.B12	alpha
X1000101206.B2	alpha
X1000101206.B3	alpha
X1000101206.B4	alpha
X1000101206.B6	alpha
X1000101206.B7	alpha
X1000101206.B8	alpha
X1000101206.B9	alpha
X1000101206.C10	alpha
X1000101206.C11	alpha
X1000101206.C2	beta
X1000101206.C3	alpha
X1000101206.C5	alpha
X1000101206.C7	alpha
X1000101206.C8	alpha
X1000101206.C9	alpha
X1000101206.D1	alpha
X1000101206.D11	beta
X1000101206.D2	beta
X1000101206.D3	alpha
X1000101206.D4	alpha
X1000101206.D5	alpha
X1000101206.D6	beta
X1000101206.D9	alpha
X1000101206.E10	alpha
X1000101206.E11	alpha
X1000101206.E12	alpha
X1000101206.E3	alpha
X1000101206.E5	delta
X1000101206.E6	beta
X1000101206.E7	alpha
X1000101206.E8	alpha
X1000101206.E9	alpha
X1000101206.F10	delta
X1000101206.F12	beta
X1000101206.F4	alpha
X1000101206.F6	beta
X1000101206.F7	alpha
X1000101206.F8	alpha
X1000101206.F9	beta
X1000101206.G1	alpha
X1000101206.G11	alpha
X1000101206.G4	beta
X1000101206.G6	beta
X1000101206.G8	alpha
X1000101206.G9	alpha
X1000101206.H1	alpha
X1000101206.H10	alpha
X1000101206.H11	alpha
X1000101206.H2	alpha
X1000101206.H3	alpha
X1000101206.H4	alpha
X1000101206.H5	alpha
X1000101206.H6	alpha
X1000101206.H7	alpha
X1000101206.H8	alpha
X1000101206.H9	alpha
X1000101207.A10	alpha
X1000101207.A11	alpha
X1000101207.A3	alpha
X1000101207.A4	alpha
X1000101207.A6	alpha
X1000101207.A7	alpha
X1000101207.A8	alpha
X1000101207.B1	alpha
X1000101207.B11	ductal/mesench
X1000101207.B12	beta
X1000101207.B3	alpha
X1000101207.B5	alpha
X1000101207.B7	alpha
X1000101207.C1	alpha
X1000101207.C10	alpha
X1000101207.C11	beta
X1000101207.C4	beta
X1000101207.C5	alpha
X1000101207.C6	alpha
X1000101207.C9	beta
X1000101207.D1	alpha
X1000101207.D10	alpha
X1000101207.D11	alpha
X1000101207.D12	alpha
X1000101207.D4	alpha
X1000101207.D5	beta
X1000101207.D6	beta
X1000101207.D7	alpha
X1000101207.D9	alpha
X1000101207.E10	alpha
X1000101207.E11	alpha
X1000101207.E7	beta
X1000101207.E9	alpha
X1000101207.F1	alpha
X1000101207.F10	alpha
X1000101207.F11	alpha
X1000101207.F12	alpha
X1000101207.F3	alpha
X1000101207.F4	alpha
X1000101207.F5	alpha
X1000101207.F6	alpha
X1000101207.F7	delta
X1000101207.F9	alpha
X1000101207.G1	alpha
X1000101207.G11	beta
X1000101207.G12	beta
X1000101207.G2	alpha
X1000101207.G3	alpha
X1000101207.G4	alpha
X1000101207.G5	alpha
X1000101207.G6	alpha
X1000101207.G7	alpha
X1000101207.G8	alpha
X1000101207.H1	alpha
X1000101207.H10	alpha
X1000101207.H2	alpha
X1000101207.H3	alpha
X1000101207.H5	alpha
X1000101207.H7	alpha
X1000101207.H8	alpha
X1000101207.H9	delta
X1000101208.A10	acinar
X1000101208.A11	acinar
X1000101208.A12	acinar
X1000101208.A4	acinar
X1000101208.A5	acinar
X1000101208.B10	acinar
X1000101208.B11	acinar
X1000101208.B12	acinar
X1000101208.B7	acinar
X1000101208.C3	acinar
