1001200501_A11	alpha_mt
1001200501_A12	alpha
1001200501_A17	alpha
1001200501_A19	gamma
1001200501_A22	alpha
1001200501_A3	alpha
1001200501_A9	alpha
1001200501_B18	alpha_mt
1001200501_B19	alpha_mt
1001200501_B4	beta
1001200501_B8	beta
1001200501_C1	alpha
1001200501_C11	endocrine
1001200501_C13	alpha_mt
1001200501_C14	alpha
1001200501_C17	alpha
1001200501_C18	beta
1001200501_C2	alpha
1001200501_C7	alpha_mt
1001200501_D1	alpha
1001200501_D11	alpha
1001200501_D15	alpha
1001200501_D18	alpha
1001200501_D2	alpha
1001200501_D22	gamma
1001200501_D9	beta
1001200501_E14	endocrine
1001200501_E18	alpha
1001200501_E5	alpha
1001200501_E8	alpha
1001200501_F1	alpha
1001200501_F13	gamma
1001200501_F14	alpha
1001200501_F15	alpha
1001200501_F16	alpha_mt
1001200501_F19	alpha
1001200501_F22	alpha
1001200501_F8	alpha_mt
1001200501_G1	alpha
1001200501_G10	gamma
1001200501_G11	gamma
1001200501_G12	alpha
1001200501_G13	alpha
1001200501_G15	alpha_mt
1001200501_G2	gamma
1001200501_G3	alpha
1001200501_G4	alpha
1001200501_G5	alpha_mt
1001200501_H13	alpha
1001200501_H16	gamma
1001200501_H19	gamma
1001200501_H3	alpha
1001200501_H8	alpha_mt
1001200501_I14	alpha_mt
1001200501_I3	alpha
1001200501_I6	gamma
1001200501_I8	alpha_mt
1001200501_J1	alpha_mt
1001200501_J10	alpha_mt
1001200501_J17	gamma
1001200501_J2	alpha_mt
1001200501_J21	alpha
1001200501_J8	alpha_mt
1001200501_K11	alpha_mt
1001200501_K15	alpha
1001200501_K19	alpha
1001200501_K20	alpha
1001200501_K21	beta
1001200501_K6	alpha
1001200501_K7	alpha_mt
1001200501_K8	alpha
1001200501_K9	alpha_mt
1001200501_L16	alpha_mt
1001200501_L21	gamma
1001200501_L4	alpha_mt
1001200501_L5	alpha_mt
1001200501_M1	alpha
1001200501_M10	alpha_mt
1001200501_M14	alpha
1001200501_M17	alpha
1001200501_M18	alpha
1001200501_M6	alpha_mt
1001200501_N10	alpha
1001200501_N15	alpha_mt
1001200501_N16	alpha
1001200501_N20	alpha
1001200501_O11	beta
1001200501_O21	alpha
1001200501_O22	alpha
1001200501_O4	beta
1001200501_P21	alpha
1001200501_P22	alpha
1001200501_P5	alpha_mt
1001200501_P7	alpha
1001200501_P9	alpha
1001200502_C2	alpha
1001200502_E1	delta
1001200502_E2	alpha
1001200502_E5	beta
1001200502_F1	alpha
1001200502_F6	beta
1001200502_G3	alpha
1001200502_G8	alpha
1001200502_H10	alpha
1001200502_H5	alpha
1001200502_I3	beta
1001200502_I4	alpha
1001200502_I6	beta
1001200502_J2	alpha
1001200502_J9	alpha
1001200502_L1	beta
1001200502_L12	beta
1001200502_L7	alpha
1001200502_M1	alpha
1001200502_M3	alpha
1001200502_N15	alpha
1001200502_N4	alpha
1001200502_O16	delta
1001200502_P15	beta
1001200502_P4	beta
1001200503_A1	beta
1001200503_A11	endocrine
1001200503_A4	alpha_mt
1001200503_A7	beta
1001200503_B1	alpha
1001200503_B10	beta
1001200503_B11	alpha_mt
1001200503_B12	beta
1001200503_B2	endocrine
1001200503_B3	alpha
1001200503_B4	beta
1001200503_B5	alpha_mt
1001200503_B7	beta
1001200503_B9	beta
1001200503_C1	alpha
1001200503_C10	endocrine
1001200503_C11	beta
1001200503_C12	alpha_mt
1001200503_C2	alpha_mt
1001200503_C3	endocrine
1001200503_C4	beta
1001200503_C6	beta
1001200503_C8	beta
1001200503_C9	alpha
1001200503_D3	endocrine
1001200503_D4	beta
1001200503_D5	alpha
1001200503_E1	alpha
1001200503_E10	beta
1001200503_E11	alpha_mt
1001200503_E3	alpha
1001200503_E4	alpha_mt
1001200503_E6	beta
1001200503_E7	alpha
1001200503_F1	beta
1001200503_F6	endocrine
1001200503_F7	beta
1001200503_F9	beta
1001200503_G1	beta
1001200503_G10	beta
1001200503_G3	beta
1001200503_G5	alpha
1001200503_G6	beta
1001200503_G7	alpha
1001200503_G8	alpha
1001200503_G9	endocrine
1001200503_H1	endocrine
1001200503_H3	alpha
1001200503_H5	beta
1001200503_H6	beta
1001200503_H8	alpha
1001200504_A1	alpha
1001200504_A11	alpha
1001200504_A3	beta
1001200504_A4	alpha_mt
1001200504_A7	alpha
1001200504_A9	gamma
1001200504_B3	alpha
1001200504_B5	alpha
1001200504_B9	gamma
1001200504_C11	alpha
1001200504_C2	alpha
1001200504_C7	endocrine
1001200504_C8	alpha
1001200504_D10	alpha
1001200504_D12	alpha_mt
1001200504_D3	alpha_mt
1001200504_D7	beta
1001200504_E6	alpha_mt
1001200504_E8	alpha
1001200504_F1	alpha
1001200504_F5	alpha
1001200504_F7	alpha
1001200504_G1	alpha
1001200504_G11	alpha
1001200504_G2	alpha
1001200504_G3	alpha
1001200504_G8	alpha
1001200504_H7	alpha_mt
1001200505_A11	beta
1001200505_A4	delta
1001200505_A5	beta
1001200505_A6	beta
1001200505_A8	endocrine
1001200505_A9	alpha
1001200505_B11	delta
1001200505_B12	alpha
1001200505_B2	beta
1001200505_B3	alpha_mt
1001200505_B4	alpha
1001200505_B5	alpha
1001200505_B7	alpha
1001200505_B9	beta
1001200505_C1	beta
1001200505_C10	alpha_mt
1001200505_C11	alpha_mt
1001200505_C12	alpha_mt
1001200505_C2	delta
1001200505_C4	beta
1001200505_C5	alpha_mt
1001200505_D10	beta
1001200505_D2	alpha_mt
1001200505_D5	alpha
1001200505_D6	delta
1001200505_D7	alpha_mt
1001200505_D8	alpha
1001200505_D9	beta
1001200505_E2	endocrine
1001200505_E3	alpha
1001200505_E4	alpha
1001200505_E6	alpha
1001200505_E9	alpha_mt
1001200505_F10	beta
1001200505_F11	beta
1001200505_F3	alpha
1001200505_F4	endocrine
1001200505_F5	alpha
1001200505_F6	beta
1001200505_F9	alpha_mt
1001200505_G2	beta
1001200505_G3	delta
1001200505_G5	alpha_mt
1001200505_G8	alpha
1001200505_G9	beta
1001200505_H2	beta
1001200505_H5	alpha
1001200505_H6	alpha_mt
1001200505_H7	endocrine
1001200505_H8	beta
1001200506_A2	alpha_mt
1001200506_A3	alpha
1001200506_A4	delta
1001200506_A5	alpha_mt
1001200506_A7	delta
1001200506_A8	delta
1001200506_B1	alpha_mt
1001200506_B10	alpha_mt
1001200506_B11	alpha_mt
1001200506_B12	alpha
1001200506_B4	alpha_mt
1001200506_B7	delta
1001200506_B8	alpha
1001200506_C11	endocrine
1001200506_C3	alpha
1001200506_C4	endocrine
1001200506_C8	alpha_mt
1001200506_C9	alpha
1001200506_D10	alpha_mt
1001200506_D2	alpha
1001200506_D5	alpha_mt
1001200506_D7	alpha
1001200506_D8	alpha_mt
1001200506_D9	alpha_mt
1001200506_E1	alpha
1001200506_E10	alpha_mt
1001200506_E11	alpha_mt
1001200506_E2	endocrine
1001200506_E4	alpha
1001200506_E7	alpha_mt
1001200506_F1	alpha
1001200506_F10	endocrine
1001200506_F2	alpha_mt
1001200506_F3	endocrine
1001200506_F4	alpha
1001200506_G4	alpha_mt
1001200506_G5	alpha
1001200506_G6	alpha
1001200506_H1	alpha
1001200506_H2	alpha_mt
1001200506_H3	alpha
1001200506_H4	beta
1001200506_H8	alpha
1001200507_A10	alpha
1001200507_A12	gamma
1001200507_A3	alpha_mt
1001200507_A4	gamma
1001200507_A5	alpha
1001200507_A7	alpha
1001200507_B1	beta
1001200507_B12	alpha_mt
1001200507_B3	alpha_mt
1001200507_B8	beta
1001200507_C10	alpha
1001200507_C12	alpha
1001200507_C5	alpha
1001200507_C7	alpha
1001200507_D1	beta
1001200507_D10	alpha
1001200507_D11	gamma
1001200507_D6	beta
1001200507_E1	beta
1001200507_E10	alpha_mt
1001200507_E4	beta
1001200507_E6	alpha_mt
1001200507_E9	delta
1001200507_F1	beta
1001200507_F11	beta
1001200507_F4	beta
1001200507_F8	alpha
1001200507_G1	beta
1001200507_G10	alpha
1001200507_G7	alpha
1001200507_G9	alpha_mt
1001200507_H1	beta
1001200507_H2	beta
1001200507_H6	alpha
1001200508_A18	alpha
1001200508_A19	alpha
1001200508_A20	alpha
1001200508_A21	alpha_mt
1001200508_B18	alpha
1001200508_B22	alpha
1001200508_C17	alpha
1001200508_D18	alpha
1001200508_D20	alpha
1001200508_E17	alpha
1001200508_E18	alpha
1001200508_E19	alpha
1001200508_E21	alpha
1001200508_E22	alpha
1001200508_F18	alpha
1001200508_F20	alpha
1001200508_F21	alpha
1001200508_G17	alpha
1001200508_G19	alpha
1001200508_G21	alpha
1001200508_G3	alpha_mt
1001200508_H17	alpha
1001200508_H18	alpha
1001200508_H22	alpha
1001200508_I17	alpha
1001200508_I19	alpha
1001200508_I22	alpha
1001200508_I3	alpha_mt
1001200508_J17	alpha
1001200508_J18	alpha
1001200508_J22	alpha
1001200508_J3	alpha_mt
1001200508_K18	alpha
1001200508_K19	alpha
1001200508_L22	alpha
1001200508_M18	alpha
1001200508_M2	alpha_mt
1001200508_M21	alpha
1001200508_N2	alpha_mt
1001200508_N20	alpha
1001200508_O1	alpha_mt
1001200508_O20	alpha
1001200508_O21	alpha
1001200508_P18	alpha
1001200508_P19	alpha
1001200509_A1	endocrine
1001200509_A13	beta
1001200509_A15	beta
1001200509_A16	beta
1001200509_A17	beta
1001200509_A19	beta
1001200509_A20	beta
1001200509_A21	beta
1001200509_A22	beta
1001200509_A4	endocrine
1001200509_A5	endocrine
1001200509_A7	endocrine
1001200509_A8	endocrine
1001200509_A9	endocrine
1001200509_B11	alpha_mt
1001200509_B12	beta
1001200509_B13	beta
1001200509_B14	beta
1001200509_B16	beta
1001200509_B19	endocrine
1001200509_B2	endocrine
1001200509_B20	beta
1001200509_B21	beta
1001200509_B22	beta
1001200509_B4	endocrine
1001200509_B5	endocrine
1001200509_B7	endocrine
1001200509_B8	endocrine
1001200509_B9	endocrine
1001200509_C1	endocrine
1001200509_C10	endocrine
1001200509_C11	alpha_mt
1001200509_C12	beta
1001200509_C14	beta
1001200509_C15	beta
1001200509_C16	beta
1001200509_C17	beta
1001200509_C18	beta
1001200509_C2	endocrine
1001200509_C20	beta
1001200509_C21	beta
1001200509_C3	endocrine
1001200509_C5	endocrine
1001200509_C6	endocrine
1001200509_C7	endocrine
1001200509_D1	alpha_mt
1001200509_D12	beta
1001200509_D13	beta
1001200509_D14	beta
1001200509_D15	beta
1001200509_D16	beta
1001200509_D17	beta
1001200509_D19	beta
1001200509_D20	beta
1001200509_D22	beta
1001200509_D4	endocrine
1001200509_D6	endocrine
1001200509_D7	beta
1001200509_D9	endocrine
1001200509_E11	endocrine
1001200509_E14	alpha
1001200509_E16	beta
1001200509_E17	beta
1001200509_E18	endocrine
1001200509_E19	beta
1001200509_E2	beta
1001200509_E22	beta
1001200509_E5	endocrine
1001200509_E6	beta
1001200509_E7	endocrine
1001200509_F1	endocrine
1001200509_F10	delta
1001200509_F12	beta
1001200509_F13	beta
1001200509_F14	beta
1001200509_F16	beta
1001200509_F17	beta
1001200509_F18	beta
1001200509_F19	beta
1001200509_F2	endocrine
1001200509_F20	beta
1001200509_F21	beta
1001200509_F22	beta
1001200509_F3	endocrine
1001200509_F5	endocrine
1001200509_F7	alpha_mt
1001200509_F8	endocrine
1001200509_G11	endocrine
1001200509_G12	beta
1001200509_G13	beta
1001200509_G14	beta
1001200509_G16	beta
1001200509_G17	beta
1001200509_G18	beta
1001200509_G19	beta
1001200509_G20	beta
1001200509_G21	beta
1001200509_G22	beta
1001200509_G3	beta
1001200509_G4	endocrine
1001200509_G5	endocrine
1001200509_G6	endocrine
1001200509_G8	alpha_mt
1001200509_G9	endocrine
1001200509_H13	beta
1001200509_H14	alpha
1001200509_H17	beta
1001200509_H18	beta
1001200509_H2	endocrine
1001200509_H20	beta
1001200509_H22	beta
1001200509_H3	endocrine
1001200509_H4	alpha
1001200509_H7	endocrine
1001200509_H8	delta
1001200509_H9	endocrine
1001200509_I12	beta
1001200509_I14	beta
1001200509_I17	beta
1001200509_I18	beta
1001200509_I19	beta
1001200509_I2	beta
1001200509_I20	beta
1001200509_I21	beta
1001200509_I5	beta
1001200509_I8	endocrine
1001200509_J1	endocrine
1001200509_J11	endocrine
1001200509_J13	alpha
1001200509_J14	beta
1001200509_J15	beta
1001200509_J18	beta
1001200509_J2	endocrine
1001200509_J20	beta
1001200509_J8	alpha_mt
1001200509_K1	beta
1001200509_K11	beta
1001200509_K12	alpha
1001200509_K13	beta
1001200509_K14	beta
1001200509_K15	beta
1001200509_K16	beta
1001200509_K17	beta
1001200509_K18	beta
1001200509_K19	beta
1001200509_K20	beta
1001200509_K21	beta
1001200509_K22	beta
1001200509_K4	endocrine
1001200509_K8	endocrine
1001200509_K9	alpha_mt
1001200509_L10	gamma
1001200509_L11	endocrine
1001200509_L12	beta
1001200509_L13	beta
1001200509_L15	beta
1001200509_L16	beta
1001200509_L17	beta
1001200509_L18	delta
1001200509_L21	beta
1001200509_L22	beta
1001200509_L3	endocrine
1001200509_L4	endocrine
1001200509_L5	alpha
1001200509_L6	endocrine
1001200509_M1	endocrine
1001200509_M10	beta
1001200509_M14	beta
1001200509_M18	beta
1001200509_M19	beta
1001200509_M20	beta
1001200509_M21	beta
1001200509_M22	beta
1001200509_M4	endocrine
1001200509_M5	endocrine
1001200509_M9	endocrine
1001200509_N1	beta
1001200509_N10	endocrine
1001200509_N11	beta
1001200509_N12	beta
1001200509_N13	beta
1001200509_N14	beta
1001200509_N15	endocrine
1001200509_N16	beta
1001200509_N17	endocrine
1001200509_N19	beta
1001200509_N20	beta
1001200509_N22	beta
1001200509_N3	endocrine
1001200509_O1	beta
1001200509_O12	beta
1001200509_O13	beta
1001200509_O14	beta
1001200509_O15	beta
1001200509_O16	beta
1001200509_O17	beta
1001200509_O18	beta
1001200509_O22	alpha
1001200509_O3	endocrine
1001200509_O4	endocrine
1001200509_O5	endocrine
1001200509_O6	endocrine
1001200509_O9	endocrine
1001200509_P10	endocrine
1001200509_P11	alpha_mt
1001200509_P13	beta
1001200509_P14	beta
1001200509_P15	beta
1001200509_P16	endocrine
1001200509_P17	beta
1001200509_P19	beta
1001200509_P20	beta
1001200509_P22	beta
1001200509_P4	alpha_mt
1001200510_A22	beta
1001200510_B14	alpha
1001200510_B17	alpha
1001200510_C10	beta
1001200510_C14	alpha
1001200510_C15	alpha
1001200510_D15	alpha
1001200510_D18	alpha
1001200510_D21	alpha
1001200510_E11	alpha
1001200510_E13	alpha
1001200510_E15	alpha
1001200510_E18	gamma
1001200510_F14	alpha
1001200510_F15	alpha
1001200510_F20	beta
1001200510_G10	beta
1001200510_G19	alpha
1001200510_H11	alpha
1001200510_H12	beta
1001200510_I14	alpha
1001200510_I22	alpha
1001200510_J12	alpha
1001200510_J19	alpha
1001200510_K11	alpha
1001200510_K12	alpha
1001200510_K13	beta
1001200510_K21	alpha
1001200510_K22	alpha
1001200510_L11	alpha
1001200510_L15	alpha
1001200510_L18	alpha
1001200510_L20	alpha
1001200510_M12	alpha
1001200510_M13	alpha
1001200510_M9	alpha_mt
1001200510_N15	alpha
1001200510_N17	alpha
1001200510_N22	alpha
1001200510_O16	alpha
1001200510_O17	alpha
1001200510_O21	alpha
1001200510_O22	alpha
1001200510_P10	alpha
1001200510_P11	alpha
1001200510_P13	alpha
1001200510_P16	beta
1001200510_P18	alpha
1001200510_P19	alpha
1001200511_A1	alpha
1001200511_A11	alpha
1001200511_A12	alpha
1001200511_A15	beta
1001200511_A16	alpha
1001200511_A19	alpha_mt
1001200511_A2	alpha
1001200511_A5	alpha
1001200511_A8	beta
1001200511_A9	alpha
1001200511_B11	alpha
1001200511_B12	alpha
1001200511_B13	alpha
1001200511_B14	alpha
1001200511_B16	alpha
1001200511_B3	alpha
1001200511_B4	alpha
1001200511_B5	alpha
1001200511_B7	beta
1001200511_B8	alpha
1001200511_C10	alpha
1001200511_C11	alpha
1001200511_C13	endocrine
1001200511_C14	alpha
1001200511_C15	alpha
1001200511_C16	alpha
1001200511_C3	alpha
1001200511_C4	alpha
1001200511_C7	beta
1001200511_C8	beta
1001200511_D11	beta
1001200511_D12	alpha
1001200511_D13	alpha
1001200511_D14	beta
1001200511_D15	alpha
1001200511_D16	alpha_mt
1001200511_D2	alpha
1001200511_D3	alpha
1001200511_D4	alpha
1001200511_D5	alpha
1001200511_D7	alpha
1001200511_D9	beta
1001200511_E1	alpha
1001200511_E10	alpha
1001200511_E11	alpha
1001200511_E13	alpha
1001200511_E14	alpha
1001200511_E15	beta
1001200511_E19	alpha_mt
1001200511_E2	alpha
1001200511_E9	alpha
1001200511_F1	beta
1001200511_F10	alpha
1001200511_F13	beta
1001200511_F14	gamma
1001200511_F15	alpha
1001200511_F18	alpha_mt
1001200511_F2	beta
1001200511_F4	alpha
1001200511_F5	alpha
1001200511_F7	alpha
1001200511_F8	alpha
1001200511_G10	alpha
1001200511_G11	alpha
1001200511_G12	alpha
1001200511_G13	alpha
1001200511_G14	alpha
1001200511_G16	alpha
1001200511_G2	beta
1001200511_G3	alpha
1001200511_G6	alpha
1001200511_G7	alpha
1001200511_G8	alpha
1001200511_H1	beta
1001200511_H10	beta
1001200511_H11	alpha
1001200511_H13	alpha
1001200511_H14	alpha
1001200511_H15	alpha
1001200511_H5	alpha
1001200511_H6	alpha
1001200511_H7	alpha
1001200511_H8	beta
1001200511_H9	alpha
1001200511_I10	alpha
1001200511_I11	alpha
1001200511_I12	alpha
1001200511_I14	alpha
1001200511_I16	alpha
1001200511_I2	alpha
1001200511_I3	alpha
1001200511_I4	alpha
1001200511_I5	beta
1001200511_I6	beta
1001200511_I7	alpha
1001200511_J10	alpha
1001200511_J11	gamma
1001200511_J12	alpha
1001200511_J13	gamma
1001200511_J14	alpha
1001200511_J15	alpha
1001200511_J16	beta
1001200511_J2	beta
1001200511_J3	alpha
1001200511_J4	alpha
1001200511_J5	beta
1001200511_J6	alpha
1001200511_J8	alpha
1001200511_J9	beta
1001200511_K1	alpha
1001200511_K11	beta
1001200511_K12	alpha
1001200511_K13	beta
1001200511_K16	alpha
1001200511_K2	beta
1001200511_K3	alpha
1001200511_K6	alpha
1001200511_K7	alpha
1001200511_K8	alpha
1001200511_K9	alpha
1001200511_L11	alpha
1001200511_L12	alpha
1001200511_L13	alpha
1001200511_L14	alpha
1001200511_L2	alpha
1001200511_L3	alpha
1001200511_L6	alpha
1001200511_L7	alpha
1001200511_L8	alpha
1001200511_M1	beta
1001200511_M12	alpha
1001200511_M13	alpha
1001200511_M15	alpha
1001200511_M16	alpha
1001200511_M4	alpha
1001200511_M7	alpha
1001200511_M8	alpha
1001200511_N1	gamma
1001200511_N10	alpha
1001200511_N11	beta
1001200511_N12	beta
1001200511_N13	alpha
1001200511_N14	alpha
1001200511_N15	alpha
1001200511_N16	alpha
1001200511_N2	alpha
1001200511_N5	beta
1001200511_N7	alpha
1001200511_N8	beta
1001200511_O12	alpha
1001200511_O13	alpha
1001200511_O2	alpha
1001200511_O4	alpha
1001200511_O5	alpha
1001200511_O6	alpha
1001200511_O8	alpha
1001200511_P10	beta
1001200511_P12	alpha
1001200511_P13	alpha
1001200511_P14	beta
1001200511_P2	alpha
1001200511_P3	alpha_mt
1001200511_P9	alpha
1001200514_A1	beta
1001200514_A2	beta
1001200514_A3	beta
1001200514_A4	alpha
1001200514_A5	alpha
1001200514_A6	delta
1001200514_A7	beta
1001200514_A8	alpha
1001200514_A9	beta
1001200514_B1	alpha
1001200514_B10	alpha
1001200514_B12	alpha
1001200514_B13	alpha
1001200514_B14	alpha
1001200514_B15	alpha
1001200514_B16	alpha
1001200514_B17	alpha
1001200514_B18	alpha
1001200514_B2	alpha
1001200514_B20	alpha
1001200514_B3	alpha
1001200514_B4	alpha
1001200514_B6	alpha
1001200514_B7	endocrine
1001200514_B8	beta
1001200514_B9	alpha
1001200514_C1	alpha
1001200514_C10	alpha
1001200514_C11	alpha
1001200514_C12	alpha
1001200514_C14	alpha
1001200514_C15	alpha
1001200514_C16	alpha
1001200514_C17	alpha
1001200514_C18	alpha
1001200514_C19	beta
1001200514_C2	alpha
1001200514_C20	endocrine
1001200514_C3	endocrine
