	tSNE1	tSNE2
1001200602_A6	-28.48657	-6.1970797
1001200602_A7	12.305135	-55.380684
1001200602_B1	-2.8581886	-40.960236
1001200602_B10	-17.007675	-54.907333
1001200602_B2	38.858425	12.327692
1001200602_B4	6.711576	-57.474464
1001200602_B6	-14.72389	32.776512
1001200602_B7	-3.9843063	-54.917652
1001200602_B8	11.531129	11.369687
1001200602_B9	-13.555785	-60.020287
1001200602_C1	-19.35787	-48.01111
1001200602_C3	-7.720335	4.2426324
1001200602_C5	6.0754066	-55.662384
1001200602_C6	6.660036	22.21305
1001200602_C7	-0.83785856	-61.49688
1001200602_C8	-6.232594	-56.147816
1001200602_D10	23.07215	0.015596029
1001200602_D3	8.535974	-54.924435
1001200602_D4	11.251449	-52.14854
1001200602_D5	-21.237408	30.528513
1001200602_D6	-12.072872	16.227139
1001200602_D7	31.782055	22.869215
1001200602_D9	-16.599249	-55.637066
1001200602_E10	-6.979843	5.702875
1001200602_E3	-2.3239658	-56.710415
1001200602_E6	-18.477896	7.080863
1001200602_E7	11.426344	-54.09524
1001200602_E9	-14.16295	-49.416584
1001200602_F10	5.892455	17.942417
1001200602_F2	4.04772	-58.49053
1001200602_F3	28.8535	5.383006
1001200602_F5	14.002854	21.213388
1001200602_F7	8.500389	-56.522423
1001200602_F8	7.987076	-57.138508
1001200602_G1	-2.4220734	-42.926353
1001200602_G2	-17.730253	-41.63752
1001200602_G7	-12.765782	-34.670486
1001200602_G8	4.94426	24.362696
1001200602_H1	0.65166634	-63.630276
1001200602_H10	18.375425	4.352206
1001200602_H2	5.8642845	-62.58161
1001200602_H3	-8.224503	-48.30122
1001200602_H5	-14.180093	8.090342
1001200602_H7	-5.694318	-57.739056
1001200604_A10	-8.185567	-44.58015
1001200604_A11	11.219943	-49.80587
1001200604_A12	-17.110743	16.748165
1001200604_A2	-2.7695973	20.411663
1001200604_A3	-23.643162	14.571771
1001200604_A4	0.49465814	8.78586
1001200604_A5	-29.304445	-4.901364
1001200604_A6	-22.575258	9.231909
1001200604_A9	-13.889312	-43.18889
1001200604_B12	-14.513971	3.4006402
1001200604_B2	-2.3354807	-51.627583
1001200604_B3	1.2120395	6.533037
1001200604_B4	-12.574817	9.802486
1001200604_B6	-13.792425	-32.27472
1001200604_B8	-1.9588666	-46.431602
1001200604_C1	-13.178444	8.444402
1001200604_C10	-15.455356	-35.46166
1001200604_C12	-12.102261	4.2126937
1001200604_C2	4.253723	-52.012905
1001200604_C3	-9.156996	-48.84598
1001200604_C4	1.3032532	5.68062
1001200604_C5	-15.437111	11.886902
1001200604_C6	-25.264517	-2.759084
1001200604_C8	-0.052306287	-45.08569
1001200604_D1	-4.3122687	21.185326
1001200604_D10	1.0509737	-47.624138
1001200604_D11	16.947784	-16.57186
1001200604_D12	-17.02977	16.163435
1001200604_D3	-3.8228993	22.562317
1001200604_D4	-8.240098	17.552116
1001200604_D5	-11.725091	10.725772
1001200604_D7	-12.421429	-44.802086
1001200604_D8	29.84282	11.516705
1001200604_D9	-13.215695	-44.909695
1001200604_E1	-1.3553648	29.610737
1001200604_E10	33.850704	26.958157
1001200604_E11	1.5727986	-19.203106
1001200604_E12	16.547422	-17.123688
1001200604_E3	-13.35357	17.706669
1001200604_E4	-27.753635	7.14899
1001200604_E5	-5.195224	29.108736
1001200604_E7	7.326493	-50.721474
1001200604_E8	-14.573029	-32.833313
1001200604_E9	-13.372135	-43.60348
1001200604_F1	-0.633518	7.746262
1001200604_F10	5.816592	-52.626938
1001200604_F11	-18.511253	-37.01778
1001200604_F12	-19.281525	-37.183876
1001200604_F2	4.666421	-18.170637
1001200604_F3	-9.291727	21.992966
1001200604_F4	-1.608463	27.501606
1001200604_F5	-17.155994	26.887402
1001200604_F6	-24.204924	-4.471804
1001200604_G10	-12.3850355	-47.897552
1001200604_G12	16.192417	-17.266611
1001200604_G2	-11.65486	11.091569
1001200604_G3	-4.1672783	18.8105
1001200604_G4	-21.21664	8.15987
1001200604_G5	-3.975822	18.962116
1001200604_G6	-2.3355348	28.775589
1001200604_G7	-18.294271	-46.42218
1001200604_H1	-21.97692	29.334764
1001200604_H11	15.946602	-15.73655
1001200604_H12	16.075562	-16.35569
1001200604_H2	-20.804398	11.8341465
1001200604_H3	-15.488917	33.155308
1001200604_H4	-20.75259	13.674803
1001200604_H6	5.6237597	11.154944
1001200604_H8	36.682068	26.872877
1001200604_H9	-12.977197	-47.245003
1001200605_B11	0.81208414	-48.269764
1001200605_B12	25.23971	21.805304
1001200605_B3	-21.259277	-2.119881
1001200605_B9	-4.9681516	-47.392097
1001200605_C10	-3.4629815	-41.74878
1001200605_C3	-8.781997	26.155092
1001200605_C8	3.8717194	-57.32586
1001200605_D11	-19.260237	-51.095455
1001200605_D8	-1.2742721	-49.108418
1001200605_D9	-6.2167306	-61.752247
1001200605_E10	-19.683102	-38.256283
1001200605_E12	-0.7129731	-51.77864
1001200605_E7	9.29817	-51.357185
1001200605_F11	7.953478	-50.495537
1001200605_F12	-7.376288	-49.229538
1001200605_F9	4.938636	-52.62303
1001200605_G11	-10.975649	-45.910385
1001200605_G7	-15.80481	-54.853546
1001200605_G8	-1.0589571	-46.753246
1001200605_G9	-14.163556	-58.95467
1001200605_H11	5.8213544	-58.411366
1001200605_H12	-7.1212225	33.99071
1001200606_A10	-4.3310547	-51.616222
1001200606_A11	11.160971	-53.17203
1001200606_A4	-10.996472	35.332115
1001200606_A5	-15.557039	29.563675
1001200606_A6	-14.994004	14.322213
1001200606_A7	2.8547902	-60.496986
1001200606_A8	-9.16871	36.516644
1001200606_A9	-18.270384	-52.78774
1001200606_B10	2.3274472	-50.61522
1001200606_B11	-11.690889	-59.525723
1001200606_B12	-17.99512	-49.435627
1001200606_B3	-12.794665	16.4531
1001200606_B4	-14.9902115	9.705673
1001200606_B5	-10.902372	-36.290913
1001200606_B7	-0.3542267	-59.10368
1001200606_B8	2.5038311	-62.00278
1001200606_C11	11.59615	-50.338512
1001200606_C12	5.9279237	-50.60702
1001200606_C5	-23.786718	7.5715375
1001200606_C6	-0.02687887	-57.191734
1001200606_C7	-11.147645	10.549734
1001200606_C8	-17.783693	-47.588257
1001200606_C9	-4.4230266	-59.065548
1001200606_D10	-4.903102	-62.32849
1001200606_D11	-6.1670427	-51.12177
1001200606_D5	-15.452459	11.889845
1001200606_D6	-26.054039	17.762476
1001200606_D7	-16.971687	-45.851257
1001200606_D8	-17.355326	-43.59129
1001200606_D9	9.833284	-52.005028
1001200606_E10	-4.799955	-45.570534
1001200606_E11	4.150611	-55.798897
1001200606_E3	-22.79168	-0.3122828
1001200606_E4	-13.551501	16.947855
1001200606_E6	-7.8095536	-53.940285
1001200606_E7	-16.191265	-45.111595
1001200606_E8	-2.8470123	-62.26343
1001200606_F10	-5.2354436	26.768377
1001200606_F11	-5.6351867	-61.746033
1001200606_F12	-17.517464	-43.58687
1001200606_F3	1.9699185	-19.52206
1001200606_F5	4.650204	14.304957
1001200606_F6	-9.665748	-62.359436
1001200606_F8	-8.776709	-60.506756
1001200606_F9	-13.250997	-60.83189
1001200606_G10	-16.456623	-41.00062
1001200606_G11	-8.8617	-62.47382
1001200606_G2	-12.963456	15.891838
1001200606_G3	-6.8916755	-53.206608
1001200606_G4	-11.393718	34.99683
1001200606_G5	-22.205376	12.833053
1001200606_G6	-11.335567	-47.973984
1001200606_G7	-14.92278	-57.477573
1001200606_G8	-17.786524	-50.71581
1001200606_H2	-9.278041	-51.641415
1001200606_H3	-24.599127	11.583327
1001200606_H4	-21.07216	3.4309072
1001200606_H5	-14.329932	35.18041
1001200606_H6	33.354877	15.785509
1001200606_H8	19.98555	22.12545
1001200606_H9	9.194258	-56.070583
1001200607_A10	-18.782791	6.5486054
1001200607_A11	-24.636858	9.004278
1001200607_A12	-13.195463	-45.378204
1001200607_A2	-14.439542	10.045557
1001200607_A4	-5.2074113	14.109239
1001200607_A6	-3.5448163	-49.32204
1001200607_A7	-25.116665	6.0654488
1001200607_A8	-22.321299	29.646656
1001200607_B1	-5.248663	15.174435
1001200607_B12	-8.905088	-45.668697
1001200607_B2	-7.889937	17.548166
1001200607_B3	-13.66528	32.95376
1001200607_B4	-7.267063	23.802124
1001200607_B5	-17.29364	-51.46058
1001200607_B6	6.967158	-55.094505
1001200607_B7	27.62682	9.6009445
1001200607_B8	1.6974676	32.221855
1001200607_B9	-28.883913	8.752019
1001200607_C1	0.3402602	17.559301
1001200607_C10	-20.594181	0.32354474
1001200607_C11	-14.767882	-38.675182
1001200607_C2	-6.804403	21.524672
1001200607_C3	4.579737	13.567421
1001200607_C5	-6.288671	-42.884327
1001200607_C6	3.4776597	18.056795
1001200607_C8	3.2798617	11.264719
1001200607_C9	-11.60515	21.781822
1001200607_D1	-19.14106	18.848162
1001200607_D10	-23.127983	12.519513
1001200607_D11	-14.265706	-36.98995
1001200607_D12	-20.292643	11.663121
1001200607_D2	-4.351901	25.195335
1001200607_D3	-14.597296	4.4442134
1001200607_D4	-22.734894	-0.9602579
1001200607_D5	7.9764533	10.60663
1001200607_D6	0.2899682	-55.452366
1001200607_D7	15.681387	18.541616
1001200607_D8	18.692448	29.547754
1001200607_E10	-11.857449	-0.16797245
1001200607_E12	-19.727776	5.003828
1001200607_E2	-4.8155823	10.8348675
1001200607_E3	-12.968067	27.258114
1001200607_E4	-26.570879	-0.7739026
1001200607_E5	-13.477624	-45.954468
1001200607_E7	-8.838268	4.7861166
1001200607_E8	-13.825503	-53.02069
1001200607_F1	-15.077222	21.902367
1001200607_F10	-24.718657	-3.2847993
1001200607_F11	-13.810851	-38.312283
1001200607_F2	-25.674747	-2.2121787
1001200607_F3	-16.79673	31.037607
1001200607_F4	-24.727005	26.319935
1001200607_F5	3.2147822	17.888634
1001200607_F6	-13.94329	-54.886917
1001200607_F7	-3.2568069	10.699423
1001200607_F8	16.344711	31.775778
1001200607_F9	-19.24731	3.291383
1001200607_G1	-16.175835	22.868277
1001200607_G12	-7.017135	-50.937885
1001200607_G2	-20.44907	-3.385115
1001200607_G3	-3.5273135	10.136827
1001200607_G4	-15.7424555	31.761421
1001200607_G5	-7.328664	-42.54819
1001200607_G7	-27.84321	2.9188106
1001200607_G8	-3.5141582	28.40578
1001200607_G9	-14.461448	-35.800957
1001200607_H10	-26.017231	22.928778
1001200607_H11	-14.74955	-39.518764
1001200607_H2	-18.64507	34.78968
1001200607_H3	-1.8397607	14.795707
1001200607_H4	-14.947544	-36.11198
1001200607_H5	-5.0569453	-40.657837
1001200607_H6	-4.0565696	8.666008
1001200607_H8	-20.37273	34.791206
1001200607_H9	-13.95315	-38.360016
1001200608_A1	-17.69259	10.185834
1001200608_A10	-20.01743	4.9619784
1001200608_A11	-12.220506	23.926147
1001200608_A12	-10.944429	23.439814
1001200608_A2	-25.999836	13.15571
1001200608_A3	-26.806334	11.574033
1001200608_A4	-27.970562	-4.514565
1001200608_A5	-9.672772	-48.495857
1001200608_A9	-15.126709	4.0394225
1001200608_B10	-18.162697	34.81972
1001200608_B12	-16.73233	-3.0680013
1001200608_B2	-26.135864	-1.823466
1001200608_B4	-24.112082	9.958467
1001200608_B5	-2.7358289	-57.013603
1001200608_B6	-7.1029305	-46.690464
1001200608_B7	-7.876086	-43.04125
1001200608_B8	-19.916866	15.384569
1001200608_B9	-11.536698	33.281727
1001200608_C1	-18.03067	-0.3780793
1001200608_C11	-13.044645	22.008617
1001200608_C12	-5.0602827	-45.86641
1001200608_C2	-22.059132	1.2571663
1001200608_C3	-27.713669	8.864798
1001200608_C5	-5.6309123	-42.28599
1001200608_C8	-17.136866	0.47767705
1001200608_C9	-26.838774	-5.76563
1001200608_D1	-22.597229	17.200676
1001200608_D10	-2.397088	26.06768
1001200608_D11	-19.95511	0.2230543
1001200608_D12	-11.173411	-48.306477
1001200608_D2	-26.145699	15.790642
1001200608_D3	-0.50663894	10.401691
1001200608_D4	-27.894075	-0.09932325
1001200608_D5	-12.887679	-58.19441
1001200608_D6	0.86828065	-46.176067
1001200608_D7	-7.1533475	-47.93523
1001200608_D8	-7.4723535	16.48464
1001200608_D9	-4.7858586	13.047255
1001200608_E1	-12.654803	13.679605
1001200608_E10	4.0073	8.873056
1001200608_E11	10.092764	-56.35709
1001200608_E6	-5.6198087	-46.959923
1001200608_E7	-6.2588015	-48.21067
1001200608_E9	-22.832758	7.174
1001200608_F10	-22.97328	0.3184363
1001200608_F11	5.9559183	28.649855
1001200608_F12	-22.999573	-44.500248
1001200608_F2	-26.5572	9.275781
1001200608_F3	-25.829897	2.9311326
1001200608_F4	-1.874731	-52.769962
1001200608_F5	-1.8730285	-47.92805
1001200608_F6	-11.728979	-52.82415
1001200608_F7	-15.947029	36.645905
1001200608_F9	3.5321689	7.602336
1001200608_G10	-19.297966	2.3513772
1001200608_G11	-4.3880973	-41.17699
1001200608_G12	12.925198	24.634743
1001200608_G4	-8.7021265	-43.78486
1001200608_G5	-7.8950477	-44.24287
1001200608_G6	-7.152987	-47.695316
1001200608_G7	-2.7764165	-45.68796
1001200608_G8	3.521031	21.289219
1001200608_G9	-4.652341	32.571503
1001200608_H10	-8.516371	23.615835
1001200608_H12	-12.807646	-60.435486
1001200608_H2	-26.246967	16.60071
1001200608_H3	-27.05248	-1.5052332
1001200608_H4	23.015318	31.550367
1001200608_H5	-3.3547862	-46.065376
1001200608_H6	-10.269189	-51.318592
1001200608_H7	-2.6622338	-43.31493
1001200608_H8	-16.725475	5.792765
1001200608_H9	-17.588627	0.75829715
1001200609_A1	-22.089138	12.466572
1001200609_A10	-11.490139	-59.701332
1001200609_A11	-1.5264941	13.500045
1001200609_A2	-14.524709	-41.908356
1001200609_A3	-5.830158	-38.566498
1001200609_A4	0.2920147	7.5118804
1001200609_A5	23.277264	22.49896
1001200609_A6	20.637497	12.441266
1001200609_A7	-29.227922	-2.2666037
1001200609_A8	-2.59577	-42.16931
1001200609_A9	-7.6305757	-40.306763
1001200609_B10	-29.86447	1.9568084
1001200609_B12	-10.5574	-38.990864
1001200609_B2	-0.11704144	-47.32447
1001200609_B3	-13.106747	-41.64656
1001200609_B6	-13.512769	-62.6893
1001200609_B7	-13.654519	-43.042038
1001200609_B8	-5.846135	-44.93288
1001200609_B9	-16.905733	30.246126
1001200609_C1	-20.853592	9.56323
1001200609_C3	3.0967689	-59.079353
1001200609_C4	-1.745081	-57.81907
1001200609_C6	-17.02046	-49.41856
1001200609_C7	-17.13619	-59.476646
1001200609_C8	-4.1805153	-51.71468
1001200609_D1	-15.991014	-51.173298
1001200609_D10	5.070767	16.82457
1001200609_D2	25.625198	4.8718085
1001200609_D3	-18.271406	33.70812
1001200609_D4	4.146514	-20.486792
1001200609_D5	25.11449	-1.1112342
1001200609_D6	-2.1130126	-62.107517
1001200609_D8	4.46417	-60.710617
1001200609_E1	-1.5658643	-56.103584
1001200609_E11	-25.521336	24.076605
1001200609_E3	-1.622226	10.359241
1001200609_E4	-4.796307	10.449644
1001200609_E5	2.5233421	-59.477577
1001200609_E6	-4.4258013	32.389603
1001200609_E7	39.953636	13.668147
1001200609_E8	-16.541086	-57.173916
1001200609_E9	-14.096236	-31.05585
1001200609_F1	10.771744	-54.70176
1001200609_F3	-14.871836	-44.26224
1001200609_F4	-9.437458	-58.38361
1001200609_F5	7.7795167	20.07519
1001200609_F6	3.392822	-62.004814
1001200609_F8	-16.266964	-41.28483
1001200609_G10	21.021397	10.500314
1001200609_G2	-19.178125	-47.05591
1001200609_G3	12.156168	-53.685497
1001200609_G4	0.5410684	19.290169
1001200609_G5	2.1842322	-62.47127
1001200609_G6	-5.258385	8.887942
1001200609_G7	-5.419941	-51.6833
1001200609_G9	-14.517403	26.11117
1001200609_H1	-18.135105	-51.259113
1001200609_H2	-3.0044842	-39.951427
1001200609_H3	-16.466177	-47.241154
1001200609_H5	38.44605	22.295431
1001200609_H6	-15.872457	23.262947
1001200609_H7	-14.475213	-60.256023
1001200609_H9	20.172743	8.468111
1001200610_A10	-25.44976	-4.9108315
1001200610_A12	-28.430885	-0.32295993
1001200610_A3	-11.372746	-25.588066
1001200610_A4	-27.7032	-5.247383
1001200610_A5	-12.666206	19.038029
1001200610_A6	-14.656543	17.395153
1001200610_A9	-16.394585	-49.38903
1001200610_B10	12.168571	21.741339
1001200610_B11	-27.127352	-5.5390487
1001200610_B12	-28.449188	-1.3632299
1001200610_B5	-16.510975	19.76246
1001200610_B6	-8.01573	-40.54286
1001200610_B7	-5.000826	-43.982502
1001200610_B8	-18.651417	2.1180274
1001200610_B9	8.260662	-50.190033
1001200610_C10	-21.258839	-2.9652307
1001200610_C11	-20.907026	-2.3281558
1001200610_C3	-25.123028	6.3472624
1001200610_C4	-23.700657	18.734474
1001200610_C5	-5.272856	31.854528
1001200610_C6	-6.2558413	-45.823242
1001200610_C7	-8.1890545	-41.930202
1001200610_C8	-8.602152	13.177779
1001200610_C9	5.0858994	-21.485594
1001200610_D10	17.572283	8.466006
1001200610_D12	14.767533	4.241988
1001200610_D3	0.42427108	-18.259104
1001200610_D5	-12.188503	26.21744
1001200610_D6	-21.939505	15.304116
1001200610_D8	9.831211	9.378013
1001200610_E10	-27.151636	-2.0298254
1001200610_E11	-28.23011	-2.352894
1001200610_E2	-27.46544	-6.3583026
1001200610_E3	-9.229037	-42.689682
1001200610_E4	0.7939442	-18.782398
1001200610_E5	-8.099235	23.857193
1001200610_E6	-11.2112255	27.563066
1001200610_E7	-28.848257	0.59753007
1001200610_E8	23.506048	6.6709466
1001200610_F10	-21.75592	19.260006
1001200610_F12	-29.07792	-0.39234006
1001200610_F2	-7.827193	8.245692
1001200610_F3	12.52416	-54.438744
1001200610_F4	-30.651377	-3.0188675
1001200610_F5	-6.938423	4.1995425
1001200610_F6	-22.935566	22.508802
1001200610_F7	0.35488158	29.962149
1001200610_F8	-6.3704634	6.0470963
1001200610_F9	-0.59112406	-46.518505
1001200610_G10	-8.985492	27.03837
1001200610_G11	-6.9784117	16.990793
1001200610_G3	-25.171505	10.359236
1001200610_G4	-25.092897	5.0535545
1001200610_G5	5.095163	14.822944
1001200610_G7	-20.849606	7.561787
1001200610_G8	-19.917671	34.21117
1001200610_G9	25.983372	17.488016
1001200610_H10	-10.997354	27.953264
1001200610_H3	-25.300318	1.7783269
1001200610_H4	-26.27966	4.9011264
1001200610_H6	-13.580261	-32.851803
1001200610_H7	13.873949	21.823124
1001200610_H8	1.814993	31.838825
1001200610_H9	-3.893615	-46.084316
1001200611_A10	13.266585	12.742701
1001200611_A11	1.1112114	30.790054
1001200611_A12	4.573892	16.254133
1001200611_A2	28.412128	5.825342
1001200611_A3	21.931822	9.727184
1001200611_A4	0.8822462	-57.897865
1001200611_A5	-2.9338257	-36.543728
1001200611_A7	33.46699	9.738031
1001200611_A8	10.074181	15.757054
1001200611_A9	3.4697988	26.428997
1001200611_B10	-7.9423857	18.641697
1001200611_B11	-0.41112024	27.165953
1001200611_B12	22.433052	7.7054358
1001200611_B3	31.208984	20.103615
1001200611_B4	26.231663	16.16173
1001200611_B5	33.58059	7.6751137
1001200611_B6	16.38982	16.37148
1001200611_B7	-10.953219	4.1267104
1001200611_B8	-24.201828	1.9530675
1001200611_C10	17.030596	25.883072
1001200611_C11	-20.110106	29.494797
1001200611_C12	0.10359319	24.745245
1001200611_C2	-27.801323	-0.872413
1001200611_C3	7.020041	-56.63176
1001200611_C4	-9.924136	-57.069984
1001200611_C5	35.20766	20.153316
1001200611_C6	-8.415398	4.8739758
1001200611_D11	-17.189808	29.142036
1001200611_D12	35.4367	21.982363
1001200611_D4	36.176693	6.343641
1001200611_D7	-22.986465	-44.48722
1001200611_E10	-4.334357	27.914845
1001200611_E11	30.149708	8.830101
1001200611_E2	-29.289162	-1.4968266
1001200611_E3	-15.437208	-58.403442
1001200611_E4	5.7005568	-62.54901
1001200611_E5	23.102566	9.890455
1001200611_E6	35.151814	10.347447
1001200611_E9	-1.5077237	25.109016
1001200611_F1	-27.73037	0.8449085
1001200611_F10	0.6607891	25.594727
1001200611_F11	-0.3742404	32.28259
1001200611_F12	-18.223227	26.765772
1001200611_F2	19.916561	8.85657
1001200611_F4	3.649277	-21.141502
1001200611_F5	26.954296	0.35470566
1001200611_F6	23.330694	15.243785
1001200611_F9	19.939983	9.6179
1001200611_G1	25.587194	8.567224
1001200611_G10	38.492188	8.390262
1001200611_G11	-2.5033712	26.543428
1001200611_G2	-31.24147	-4.3449903
1001200611_G4	-13.863821	-62.374588
1001200611_G6	39.748806	19.011715
1001200611_G7	2.2910757	-58.346634
1001200611_G9	13.933969	12.190166
1001200611_H10	25.030954	5.6561103
1001200611_H11	14.188467	12.429464
1001200611_H12	11.76657	20.075712
1001200611_H4	4.2480683	-22.700235
1001200611_H5	27.555155	1.0096529
1001200611_H6	11.381628	20.404045
1001200611_H7	-26.09087	-3.934538
1001200611_H8	-11.131426	14.923644
1001200611_H9	-8.633258	32.09575
1001200612_A10	21.182138	4.8229976
1001200612_A2	-2.5184672	-59.072445
1001200612_A3	2.4525144	31.919785
1001200612_A4	39.637638	24.13037
1001200612_A5	15.301365	-14.798559
1001200612_A6	17.69511	-14.022244
1001200612_A7	39.386757	18.658125
1001200612_B1	28.591864	8.817579
1001200612_B10	-27.333155	11.4415
1001200612_B2	-1.2711664	-41.155556
1001200612_B3	33.004604	23.069435
1001200612_B4	36.03021	13.499782
1001200612_B5	15.71824	-14.561582
1001200612_B6	37.149265	23.627926
